sl_no,nbfc_name,regional_office,accepts_deposits,classification,cin,layer
170,Adhunik Investments Private Limited,Chandigarh,No,ICC,U74899CH1992PTC044423,Base
171,Adhunik Merchandise Pvt. Ltd.,Kolkata,No,ICC,U51109WB1995PTC076044,Base
172,Adi Chitragupta Finance Limited,Patna,No,MFI,U65192BR2015PLC025551,Base
173,Adinath Financial Services (P) Ltd,Kolkata,No,ICC,U67120WB1994PTC061765,Base
174,Adishakti Mercantiles (P) Ltd,Kolkata,No,ICC,U74110WB1992PTC056489,Base
175,Adisun Investments (P) Ltd,Kolkata,No,ICC,U65929WB1993PTC057628,Base
176,Aditi Capfin Services Ltd.,New Delhi,No,ICC,U74899DL1993PLC052345,Base
177,Aditi Industries Ltd.,Kolkata,No,ICC,U74999WB1985PLC039282,Base
178,Aditi Trade & Finance Pvt Ltd,Kolkata,No,ICC,U67120WB1987PTC042771,Base
179,Aditsh Fintech Private Limited,New Delhi,No,ICC,U65929DL2017PTC326684,Base
180,Aditya Birla Capital Limited (Formerly Aditya Birla Finance Limited),Ahmedabad,No,ICC,L64920GJ2007PLC058890,Upper
181,Aditya Birla Housing Finance Limited,Mumbai,No,HFC,U65922GJ2009PLC083779,Middle
182,Aditya Consultants & Traders Ltd,Kolkata,No,ICC,U74140WB1982PTC034536,Base
183,Aditya Realtors Ltd.,Kolkata,No,ICC,U67120WB1981PLC033903,Base
184,Aditya Resources Ltd,Kolkata,No,ICC,U65910KA1985PLC110008,Base
185,Aditya Trexim Pvt Ltd,Kolkata,No,ICC,U51909WB1996PTC078113,Base
186,Adiyaman Investments Ltd,Chennai,No,ICC,U65991TN1992PLC022820,Base
187,Adjavis Capital Private Limited,Ahmedabad,No,ICC,U65993GJ2010PTC062222,Base
188,Ad-Manum Finance Limited.,Bhopal,No,ICC,L52520MP1986PLC003405,Base
189,Admiral Finstock Private Limited,New Delhi,No,ICC,U65910DL1998PTC190147,Base
190,Admire Vinimay (P) Ltd,Kolkata,No,ICC,U65191WB1993PTC060152,Base
191,Adonis Niketan Pvt Ltd,Kolkata,No,ICC,U51109WB1994PTC065883,Base
192,Adonis Niryat (P) Ltd,Kolkata,No,ICC,U51909WB1995PTC068198,Base
